hospital_name,hospital_subname,clinic_name,clinic_no,dr_name,is_close,light_no_show,light_no_time,am_pm,timestamp,remark1,remark2,remark3
NTUH,總院區,呼吸系_O1,02 診,,1,,12:18,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,醫師約診_O2,03 診,翁昭旼,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,呼吸系_O1,04 診,吳尚俊,1,,12:30,上午,2017-11-24 13:51:01.618711,03;,,
NTUH,總院區,內分泌_O1,05 診,王治元,0,103,13:50,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,心臟血管_O1,06 診,林茂欣,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,普通門診_O1,07 診,,0,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,醫師約診_O2,08 診,,0,51,13:28,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,醫師約診_O2,10 診,陳健弘,1,,11:54,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,感染症_O1,11 診,王振泰,1,,--:--,上午,2017-11-24 13:51:01.618711,03;,,
NTUH,總院區,呼吸系_O1,12 診,吳惠東,1,,--:--,上午,2017-11-24 13:51:01.618711,03;,,
NTUH,總院區,醫師約診_O2,13 診,江君揚,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,普通門診_O1,14 診,李嘉哲,1,,--:--,上午,2017-11-24 13:51:01.618711,03;,,
NTUH,總院區,腎臟科_O1,15 診,賴台軒,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,普通門診_O1,16 診,,0,,--:--,上午,2017-11-24 13:51:01.618711,03;,,
NTUH,總院區,免疫風濕教學診_O5,18 診,陳仁豪,1,,12:05,上午,2017-11-24 13:51:01.618711,05;,,
NTUH,總院區,心臟血管_O1,19 診,李百卿,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,呼吸系教學診_O5,20 診,,0,,--:--,上午,2017-11-24 13:51:01.618711,05;,,
NTUH,總院區,普通門診_O1,21 診,姚明,0,8,13:48,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,血液病_O1,22 診,周聖傑,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,血液病_O1,24 診,,1,,11:58,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,感染症_O2,25 診,莊祐中,1,,--:--,上午,2017-11-24 13:51:01.618711,03;,,
NTUH,總院區,感染症_O1,26 診,盛望徽,1,,12:24,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,心臟血管_O2,27 診,江福田,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,血液病_O1,28 診,黃懷萱,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,心臟血管_O1,30 診,,1,,12:41,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,腎及高血壓_O2,32 診,吳允升,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,醫師約診_O2,33 診,謝松洲,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,醫師約診_O2,34 診,沈玠妤,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,內分泌_O1,35 診,呂金盈,0,88,13:48,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,普通門診_O1,36 診,林隆君,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,內分泌_O1,38 診,李弘元,1,,--:--,上午,2017-11-24 13:51:01.618711,03;,,
NTUH,總院區,教學門診_O5,39 診,主治醫師,1,,--:--,上午,2017-11-24 13:51:01.618711,05;,,
NTUH,總院區,教學門診_O5,42 診,陳永銘,1,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,內分泌_O2,45 診,王秋香,0,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,醫師約診_O2,46 診,熊育敏,0,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,醫師約診_O2,50 診,黃政文,1,,--:--,上午,2017-11-24 13:51:01.618711,03;,,
NTUH,總院區,醫師約診_O2,95 診,主治醫師,0,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,感染症_O2,98 診,主治醫師,0,,--:--,上午,2017-11-24 13:51:01.618711,,,
NTUH,總院區,醫師約診_O2,99 診,主治醫師,0,,--:--,上午,2017-11-24 13:51:01.618711,,,
